project_code,sector,contractor,cost_original,cost_revised,duration_months,elapsed_months,planned_progress,actual_progress,payment_delay_days,subcontracting_depth,land_clearance_status,design_scope_change_count,billing_progress_mismatch_pct,is_cost_overrun,is_time_overrun,risk_score
RW-1416,Railways,Larsen & Toubro Infra,500.8,535.3,36,20,52.8,45.0,28.3,0,Pending,0,2.0,0,0,42
RW-1417,Railways,Himalayan Infra Engineering,333.2,371.5,30,26,85.1,72.0,28.7,0,Pending,5,-1.2,1,1,66
BR-1418,Bridges,Apex Bullet Infra Ltd.,671.7,743.1,30,9,23.1,10.5,16.4,2,Clear,2,11.2,1,1,74
NH-1419,Roads,NCC Infrastructure,466.4,494.1,24,22,88.7,83.7,16.3,1,Clear,2,-0.7,0,0,34
NH-1420,Roads,Shivalik Infraprojects Ltd.,873.7,884.1,36,33,92.6,84.5,31.5,1,Pending,0,1.6,0,1,43
PW-1421,Power,Desert Sun Powergrid JV,1853.9,1955.3,36,18,48.1,30.4,140.1,0,Pending,0,2.6,0,1,76
RW-1422,Railways,Apex Bullet Infra Ltd.,1211.4,1344.9,36,17,45.9,23.4,34.6,2,Disputed,2,12.5,1,1,95
RW-1423,Railways,Ganga Construction Co.,588.2,656.9,30,12,37.0,23.0,112.4,0,Clear,3,-0.6,1,1,75
BR-1424,Bridges,Bharat Rail Consortium,1247.7,1363.7,48,44,91.3,74.0,18.5,2,Pending,0,12.9,1,1,83
NH-1425,Roads,Tata Projects Ltd.,477.0,505.2,24,21,87.0,77.4,32.8,2,Clear,2,-0.6,0,1,49
PW-1426,Power,Dilip Buildcon Ltd.,469.7,522.6,48,16,34.4,11.1,87.3,0,Disputed,2,-3.3,1,1,90
BR-1427,Bridges,Himalayan Infra Engineering,729.4,754.8,24,5,21.1,1.0,26.4,1,Disputed,0,4.5,0,1,74
BR-1428,Bridges,Dilip Buildcon Ltd.,1148.3,1183.1,36,6,18.2,8.7,34.6,0,Pending,0,6.4,0,0,46
RW-1429,Railways,Himalayan Infra Engineering,698.6,717.0,30,18,64.9,56.6,32.5,1,Pending,0,0.7,0,0,40
BR-1430,Bridges,Afcons Infrastructure,1171.5,1268.4,42,35,85.7,74.5,25.5,0,Disputed,0,7.9,1,1,73
RW-1431,Railways,Afcons Infrastructure,431.3,431.3,24,13,55.7,51.3,24.6,1,Pending,0,-3.8,0,0,31
RW-1432,Railways,Himalayan Infra Engineering,472.9,507.4,36,11,29.0,15.7,86.0,1,Pending,0,3.6,0,1,71
NH-1433,Roads,Afcons Infrastructure,635.5,719.5,42,24,52.8,34.5,45.6,0,Disputed,2,9.2,1,1,95
NH-1434,Roads,Ganga Construction Co.,751.4,802.8,24,15,60.3,45.7,149.9,1,Clear,0,4.4,0,1,74
NH-1435,Roads,Larsen & Toubro Infra,1150.2,1218.9,36,15,40.6,23.7,49.0,2,Pending,0,17.4,0,1,79
NH-1436,Roads,Desert Sun Powergrid JV,794.2,922.1,48,38,78.8,46.4,137.8,2,Disputed,2,5.6,1,1,95
BR-1437,Bridges,Larsen & Toubro Infra,952.9,1030.1,42,11,21.7,13.0,23.9,2,Clear,0,11.0,1,0,61
NH-1438,Roads,Desert Sun Powergrid JV,1016.2,1083.3,36,24,69.7,45.0,142.8,1,Pending,0,3.9,0,1,87
RW-1439,Railways,Dilip Buildcon Ltd.,1216.6,1273.7,42,18,43.1,41.6,19.8,0,Clear,1,5.2,0,0,33
BR-1440,Bridges,Shivalik Infraprojects Ltd.,752.6,759.4,36,21,61.9,57.1,24.3,2,Clear,1,2.0,0,0,32
RW-1441,Railways,Omkar Roadways Ltd.,969.1,1076.8,36,6,9.2,0.0,24.5,1,Disputed,2,0.5,1,0,68
BR-1442,Bridges,Tata Projects Ltd.,854.2,921.3,48,9,22.3,0.0,149.7,2,Disputed,0,11.4,0,1,93
RW-1443,Railways,NCC Infrastructure,633.5,672.5,24,16,66.9,62.7,15.3,0,Clear,4,-4.5,0,0,37
RW-1444,Railways,Himalayan Infra Engineering,1149.7,1295.5,24,17,69.7,52.4,26.3,2,Clear,4,7.7,1,1,85
PW-1445,Power,Patel Engineering,1079.5,1189.8,18,8,43.9,35.0,28.9,1,Clear,1,9.7,1,0,61
RW-1446,Railways,Desert Sun Powergrid JV,1083.5,1174.2,36,7,21.7,1.2,126.7,1,Clear,0,11.2,1,1,92
RW-1447,Railways,Apex Bullet Infra Ltd.,722.8,754.5,36,14,39.3,28.1,33.2,0,Pending,1,2.0,0,0,48
RW-1448,Railways,Vindhya Powergrid Ltd.,617.5,710.3,48,33,70.9,59.0,27.2,0,Clear,5,5.3,1,0,70
NH-1449,Roads,NCC Infrastructure,717.1,721.2,18,7,40.5,36.4,17.0,1,Clear,0,1.4,0,0,28
BR-1450,Bridges,Larsen & Toubro Infra,669.5,696.2,36,21,54.6,45.9,10.0,2,Clear,1,5.4,0,0,50
RW-1451,Railways,Vindhya Powergrid Ltd.,549.6,611.5,48,12,25.1,11.1,30.4,2,Pending,1,9.1,1,1,83
NH-1452,Roads,Vindhya Powergrid Ltd.,968.8,1066.2,60,34,57.6,37.8,133.2,1,Clear,1,3.0,1,1,88
RW-1453,Railways,Apex Bullet Infra Ltd.,209.0,223.9,48,8,19.5,0.0,96.4,0,Disputed,0,8.0,0,1,83
RW-1454,Railways,Shivalik Infraprojects Ltd.,591.5,602.7,36,11,28.8,24.3,30.0,1,Pending,0,5.2,0,0,42
BR-1455,Bridges,Afcons Infrastructure,670.7,744.7,36,13,32.5,14.2,140.1,1,Clear,0,12.1,1,1,93
PW-1456,Power,Apex Bullet Infra Ltd.,285.4,316.1,24,19,76.5,63.9,23.2,1,Clear,4,4.5,1,1,64
RW-1457,Railways,Himalayan Infra Engineering,1253.8,1279.8,42,23,54.1,51.5,10.3,0,Pending,2,1.8,0,0,29
NH-1458,Roads,Omkar Roadways Ltd.,650.3,750.6,18,11,63.9,59.3,19.4,0,Clear,5,5.6,1,0,62
NH-1459,Roads,Larsen & Toubro Infra,1814.4,1960.2,30,20,72.4,64.0,11.4,1,Pending,3,2.9,1,0,53
NH-1460,Roads,Omkar Roadways Ltd.,614.6,646.7,30,26,86.2,72.0,86.9,1,Clear,0,8.2,0,1,66
NH-1461,Roads,Omkar Roadways Ltd.,926.6,986.8,30,21,72.5,53.6,125.7,1,Pending,1,4.3,0,1,79
RW-1462,Railways,Tata Projects Ltd.,847.4,847.4,42,32,78.0,73.9,18.4,0,Clear,1,-6.1,0,0,23
RW-1463,Railways,Omkar Roadways Ltd.,586.3,630.7,60,57,93.2,78.9,114.7,0,Clear,0,6.6,0,1,67
BR-1464,Bridges,Vindhya Powergrid Ltd.,691.0,749.3,18,7,33.7,15.0,20.5,2,Disputed,1,2.6,1,1,82
RW-1465,Railways,NCC Infrastructure,881.8,972.1,30,12,43.4,34.6,18.1,2,Clear,2,9.9,1,0,67
BR-1466,Bridges,Tata Projects Ltd.,484.2,543.5,48,11,21.3,0.0,117.2,0,Disputed,1,7.9,1,1,94
NH-1467,Roads,Omkar Roadways Ltd.,1067.1,1067.1,36,17,48.5,46.9,30.1,0,Pending,0,-1.5,0,0,30
RW-1468,Railways,Tata Projects Ltd.,570.0,595.9,42,18,45.1,35.3,70.8,0,Pending,0,5.1,0,0,55
PW-1469,Power,Bharat Rail Consortium,471.9,504.5,18,15,84.3,67.1,13.2,0,Disputed,2,0.1,0,1,67
BR-1470,Bridges,Desert Sun Powergrid JV,399.8,401.4,18,6,32.5,26.7,13.2,1,Clear,0,7.5,0,0,38
PW-1471,Power,Omkar Roadways Ltd.,1473.9,1700.3,24,8,33.0,11.7,144.8,1,Clear,3,2.0,1,1,95
BR-1472,Bridges,Apex Bullet Infra Ltd.,740.9,886.5,30,22,73.9,41.9,125.1,1,Disputed,4,2.9,1,1,95
RW-1473,Railways,Bharat Rail Consortium,415.9,426.9,60,41,63.3,56.0,70.4,0,Pending,0,-1.0,0,0,39
NH-1474,Roads,Apex Bullet Infra Ltd.,1069.7,1143.6,42,7,25.6,16.8,21.9,1,Clear,0,8.6,0,0,54
BR-1475,Bridges,Apex Bullet Infra Ltd.,643.6,749.4,30,27,90.4,78.0,23.4,2,Clear,4,10.5,1,1,81
BR-1476,Bridges,Himalayan Infra Engineering,1348.6,1394.7,24,12,41.7,36.9,11.3,1,Clear,0,3.4,0,0,30
RW-1477,Railways,Dilip Buildcon Ltd.,679.9,698.5,24,6,23.7,16.5,100.0,0,Clear,0,-3.2,0,0,40
RW-1478,Railways,Apex Bullet Infra Ltd.,412.1,420.1,36,7,19.1,9.7,84.6,1,Clear,0,-0.7,0,0,44
RW-1479,Railways,Ganga Construction Co.,617.0,658.5,36,16,45.3,17.9,121.3,2,Disputed,0,5.0,0,1,95
PW-1480,Power,NCC Infrastructure,415.8,451.6,36,11,35.5,27.5,12.4,1,Pending,2,4.0,1,0,59
NH-1481,Roads,Apex Bullet Infra Ltd.,1188.6,1236.8,36,16,43.0,31.8,29.8,2,Pending,0,8.5,0,0,61
BR-1482,Bridges,Desert Sun Powergrid JV,365.7,406.2,42,7,12.4,0.0,118.1,0,Clear,0,8.4,1,1,74
BR-1483,Bridges,Omkar Roadways Ltd.,1456.6,1601.1,24,8,34.7,12.9,32.6,1,Disputed,1,7.5,1,1,91
RW-1484,Railways,Bharat Rail Consortium,476.5,476.5,36,6,18.7,18.4,27.7,0,Clear,0,4.5,0,0,23
BR-1485,Bridges,Tata Projects Ltd.,220.8,220.8,48,44,90.1,87.3,14.3,0,Clear,0,4.9,0,0,24
RW-1486,Railways,Vindhya Powergrid Ltd.,967.6,1107.0,48,25,54.2,38.5,90.3,1,Pending,4,11.3,1,1,95
BR-1487,Bridges,Himalayan Infra Engineering,901.9,991.6,18,15,86.9,63.4,96.4,1,Disputed,0,4.7,1,1,93
NH-1488,Roads,Ganga Construction Co.,1112.0,1238.0,42,21,52.3,48.5,13.9,1,Clear,2,10.7,1,0,55
BR-1489,Bridges,Vindhya Powergrid Ltd.,546.6,626.1,30,19,67.6,47.3,75.6,1,Disputed,2,8.1,1,1,95
NH-1490,Roads,Dilip Buildcon Ltd.,544.4,565.0,36,21,53.8,51.4,16.0,1,Clear,1,4.0,0,0,38
NH-1491,Roads,Ganga Construction Co.,861.9,861.9,36,32,91.8,80.3,27.4,0,Disputed,0,0.2,0,1,45
NH-1492,Roads,NCC Infrastructure,618.5,674.8,30,11,38.4,27.0,14.5,1,Pending,3,-0.1,1,0,57
RW-1493,Railways,Eastern Rail Infra Pvt. Ltd.,835.2,888.2,48,36,75.5,65.1,28.6,1,Pending,1,3.2,0,1,54
RW-1494,Railways,Afcons Infrastructure,540.8,593.6,24,9,33.8,15.1,119.0,0,Pending,2,1.0,1,1,82
RW-1495,Railways,Eastern Rail Infra Pvt. Ltd.,824.8,935.0,18,16,88.5,77.5,20.7,0,Clear,3,5.2,1,1,63
RW-1496,Railways,Dilip Buildcon Ltd.,916.5,965.6,36,32,85.7,68.1,119.8,1,Clear,0,2.4,0,1,65
NH-1497,Roads,Dilip Buildcon Ltd.,378.9,410.1,30,21,63.7,49.2,146.7,0,Clear,1,4.9,1,1,73
PW-1498,Power,Tata Projects Ltd.,491.4,516.5,36,25,70.6,61.2,22.8,2,Clear,0,12.9,0,0,54
RW-1499,Railways,NCC Infrastructure,349.0,373.8,24,9,32.9,20.6,116.8,1,Clear,0,13.1,0,1,73
NH-1500,Roads,Patel Engineering,652.8,652.8,18,12,67.7,58.6,16.7,1,Disputed,0,0.4,0,0,48
BR-1501,Bridges,NCC Infrastructure,892.6,939.6,24,18,78.9,74.6,33.2,0,Clear,1,6.9,0,0,43
PW-1502,Power,Omkar Roadways Ltd.,914.0,938.1,36,13,37.6,28.8,32.8,2,Clear,0,9.5,0,0,48
PW-1503,Power,Eastern Rail Infra Pvt. Ltd.,980.8,1127.5,30,10,34.5,4.8,130.1,1,Disputed,1,9.3,1,1,95
BR-1504,Bridges,Omkar Roadways Ltd.,310.8,310.8,30,15,51.0,48.3,14.9,1,Clear,1,2.8,0,0,25
NH-1505,Roads,Apex Bullet Infra Ltd.,779.1,822.1,60,9,17.1,5.2,11.6,0,Pending,1,-2.6,0,0,48
PW-1506,Power,Apex Bullet Infra Ltd.,440.5,457.6,24,15,66.3,66.3,12.2,0,Clear,1,-6.0,0,0,23
RW-1507,Railways,Afcons Infrastructure,627.1,743.5,48,23,42.0,15.8,127.4,1,Pending,4,2.5,1,1,95
BR-1508,Bridges,Tata Projects Ltd.,412.4,456.2,30,26,86.4,65.9,137.8,1,Clear,2,10.4,1,1,95
BR-1509,Bridges,Shivalik Infraprojects Ltd.,961.3,980.0,36,18,50.1,44.0,34.4,0,Pending,1,0.1,0,0,34
NH-1510,Roads,NCC Infrastructure,574.6,611.0,36,20,51.6,35.1,14.3,2,Disputed,0,10.0,0,1,81
RW-1511,Railways,Desert Sun Powergrid JV,717.8,781.2,24,15,63.0,48.4,133.9,1,Clear,1,-2.6,1,1,71
RW-1512,Railways,NCC Infrastructure,554.0,609.0,48,19,42.1,31.8,22.4,1,Clear,2,13.6,1,0,62
NH-1513,Roads,NCC Infrastructure,392.8,399.8,24,18,69.8,68.9,23.8,1,Clear,0,4.6,0,0,31
NH-1514,Roads,Patel Engineering,1418.2,1472.1,36,26,66.4,50.7,18.6,0,Disputed,0,6.9,0,1,64
NH-1515,Roads,Afcons Infrastructure,344.9,369.6,36,20,63.9,45.0,50.2,1,Disputed,0,5.4,0,1,80
NH-1516,Roads,Ganga Construction Co.,1597.0,1727.8,30,8,26.2,10.5,89.1,1,Clear,1,8.6,1,1,77
RW-1517,Railways,Ganga Construction Co.,898.7,916.7,36,24,68.9,57.9,26.8,0,Disputed,0,0.9,0,0,47
BR-1518,Bridges,Bharat Rail Consortium,560.1,597.0,48,28,58.4,49.1,14.6,1,Clear,3,2.0,0,0,48
PW-1519,Power,Ganga Construction Co.,721.3,804.3,30,26,90.1,68.3,110.8,1,Pending,1,8.5,1,1,95
RW-1520,Railways,Larsen & Toubro Infra,216.8,239.2,24,20,85.3,76.9,28.0,0,Pending,3,6.5,1,1,65
NH-1521,Roads,Dilip Buildcon Ltd.,558.0,650.7,36,8,21.3,0.0,21.6,1,Disputed,4,8.9,1,1,95
NH-1522,Roads,Apex Bullet Infra Ltd.,358.2,396.4,42,32,72.6,63.9,29.6,0,Pending,2,3.4,1,1,56
BR-1523,Bridges,Shivalik Infraprojects Ltd.,398.4,437.1,24,5,26.2,17.2,28.0,1,Clear,2,-4.4,1,0,50
RW-1524,Railways,Patel Engineering,729.2,850.8,36,20,62.4,45.5,103.7,1,Clear,4,2.2,1,1,88
NH-1525,Roads,Desert Sun Powergrid JV,746.8,750.4,30,20,61.6,59.4,22.5,1,Clear,0,0.4,0,0,24
NH-1526,Roads,Afcons Infrastructure,629.8,640.6,36,8,23.2,13.3,83.6,0,Clear,0,6.9,0,0,50
NH-1527,Roads,Dilip Buildcon Ltd.,596.6,616.5,36,11,30.6,20.6,72.0,1,Clear,0,1.2,0,0,51
BR-1528,Bridges,Tata Projects Ltd.,742.7,871.5,60,23,40.0,12.5,76.0,1,Disputed,3,4.2,1,1,95
NH-1529,Roads,Desert Sun Powergrid JV,595.5,668.3,24,21,84.5,74.0,19.2,1,Pending,2,11.9,1,1,73
NH-1530,Roads,Larsen & Toubro Infra,280.7,293.1,36,23,66.0,61.4,19.5,0,Clear,1,3.8,0,0,35
RW-1531,Railways,Dilip Buildcon Ltd.,1274.6,1490.0,30,22,71.0,54.5,30.3,0,Pending,4,-1.3,1,1,72
BR-1532,Bridges,Patel Engineering,589.4,667.8,36,21,57.3,32.6,32.0,2,Disputed,2,1.5,1,1,95
RW-1533,Railways,Bharat Rail Consortium,841.6,930.1,36,24,67.2,48.6,87.5,0,Disputed,1,-7.1,1,1,81
BR-1534,Bridges,Tata Projects Ltd.,324.7,332.4,24,16,67.2,67.2,26.4,0,Clear,0,7.0,0,0,27
NH-1535,Roads,Afcons Infrastructure,899.0,899.0,48,14,26.0,26.0,31.4,0,Clear,0,-2.5,0,0,18
NH-1536,Roads,Larsen & Toubro Infra,1284.9,1476.9,24,7,28.1,0.0,68.8,0,Disputed,3,10.9,1,1,95
NH-1537,Roads,Vindhya Powergrid Ltd.,1208.1,1297.0,60,42,71.2,50.9,25.0,1,Disputed,0,5.5,0,1,81
PW-1538,Power,Omkar Roadways Ltd.,1275.7,1341.8,18,12,60.5,53.8,16.2,1,Pending,1,9.0,0,0,53
BR-1539,Bridges,Himalayan Infra Engineering,1241.9,1277.6,30,22,70.8,58.8,92.7,1,Clear,0,4.7,0,1,54
RW-1540,Railways,Afcons Infrastructure,1221.3,1341.6,24,8,29.9,20.7,23.4,2,Clear,2,7.0,1,0,63
NH-1541,Roads,Himalayan Infra Engineering,983.5,1008.7,24,12,57.2,45.1,130.1,0,Clear,0,2.3,0,1,57
RW-1542,Railways,Eastern Rail Infra Pvt. Ltd.,296.2,364.0,42,39,89.1,51.9,138.8,1,Disputed,3,8.9,1,1,95
RW-1543,Railways,Apex Bullet Infra Ltd.,553.9,622.9,36,22,60.9,43.9,55.3,0,Pending,3,3.4,1,1,77
RW-1544,Railways,Larsen & Toubro Infra,548.3,644.3,24,10,44.2,21.6,108.2,1,Pending,4,12.9,1,1,95
PW-1545,Power,Afcons Infrastructure,1896.8,2031.7,48,36,73.6,60.3,118.0,1,Clear,2,0.0,0,1,67
NH-1546,Roads,Patel Engineering,738.9,741.6,36,31,78.8,68.7,25.1,2,Clear,0,5.5,0,1,46
NH-1547,Roads,Ganga Construction Co.,565.7,608.6,42,12,29.3,15.4,30.8,1,Clear,0,8.7,0,1,63
BR-1548,Bridges,Eastern Rail Infra Pvt. Ltd.,932.7,963.9,18,15,84.6,68.1,88.0,2,Clear,0,7.2,0,1,71
PW-1549,Power,Vindhya Powergrid Ltd.,261.2,279.7,36,15,42.5,35.7,54.9,1,Clear,2,1.8,0,0,43
NH-1550,Roads,Afcons Infrastructure,939.0,1007.1,30,9,24.1,19.0,15.0,1,Clear,2,2.8,0,0,42
BR-1551,Bridges,Patel Engineering,701.6,794.8,36,32,95.0,81.0,33.7,1,Clear,3,10.9,1,1,77
RW-1552,Railways,Himalayan Infra Engineering,886.2,971.0,24,15,58.5,46.7,21.4,1,Pending,0,7.3,1,0,64
NH-1553,Roads,Himalayan Infra Engineering,788.4,835.2,18,12,67.2,61.5,53.0,1,Clear,1,9.1,0,0,55
NH-1554,Roads,Apex Bullet Infra Ltd.,1089.3,1189.5,30,21,69.5,35.8,130.6,2,Disputed,0,9.3,1,1,95
NH-1555,Roads,Ganga Construction Co.,257.4,294.6,42,26,56.7,46.5,21.6,1,Clear,4,6.8,1,0,68
PW-1556,Power,NCC Infrastructure,763.0,880.0,42,14,34.6,24.9,15.4,0,Pending,5,-3.7,1,0,64
PW-1557,Power,Tata Projects Ltd.,662.5,662.5,30,15,52.0,39.1,126.3,0,Pending,0,-3.8,0,1,55
NH-1558,Roads,Eastern Rail Infra Pvt. Ltd.,397.3,423.7,18,13,64.7,60.2,17.7,2,Clear,1,8.3,0,0,50
RW-1559,Railways,Larsen & Toubro Infra,836.8,882.3,30,19,70.4,59.1,97.1,2,Clear,0,1.1,0,0,61
NH-1560,Roads,Bharat Rail Consortium,684.3,757.2,18,5,28.9,14.0,11.7,1,Pending,2,2.0,1,1,65
RW-1561,Railways,Eastern Rail Infra Pvt. Ltd.,706.5,739.5,24,11,39.8,33.7,29.3,0,Clear,2,4.9,0,0,41
RW-1562,Railways,Larsen & Toubro Infra,245.6,260.7,60,50,80.6,66.1,75.5,0,Disputed,1,0.9,0,1,72
BR-1563,Bridges,Afcons Infrastructure,1101.5,1139.5,30,8,28.4,21.3,56.1,1,Clear,0,3.3,0,0,34
NH-1564,Roads,Desert Sun Powergrid JV,405.7,449.9,42,39,94.1,76.3,23.3,1,Disputed,1,7.1,1,1,85
PW-1565,Power,Afcons Infrastructure,802.7,842.6,24,4,22.0,14.8,28.6,0,Clear,2,1.0,0,0,43
NH-1566,Roads,Ganga Construction Co.,437.5,442.9,36,19,52.4,39.0,28.0,0,Disputed,0,1.8,0,1,53
NH-1567,Roads,Vindhya Powergrid Ltd.,699.9,788.3,42,21,50.6,37.6,15.8,1,Pending,3,2.0,1,1,71
NH-1568,Roads,Dilip Buildcon Ltd.,720.0,769.7,24,16,70.2,64.8,13.7,1,Clear,2,5.9,0,0,48
BR-1569,Bridges,Ganga Construction Co.,521.2,544.4,36,22,59.5,45.1,21.4,0,Disputed,0,0.9,0,1,63
RW-1570,Railways,Afcons Infrastructure,429.0,435.7,42,17,42.2,38.0,33.3,0,Clear,1,-1.3,0,0,26
PW-1571,Power,Omkar Roadways Ltd.,997.0,1162.1,60,54,91.2,72.1,67.5,1,Pending,5,7.5,1,1,95
BR-1572,Bridges,Afcons Infrastructure,1237.3,1242.7,18,9,56.7,56.6,32.6,0,Clear,0,3.2,0,0,22
NH-1573,Roads,Omkar Roadways Ltd.,758.5,860.1,24,13,51.1,39.8,33.1,1,Clear,4,2.2,1,0,64
BR-1574,Bridges,Bharat Rail Consortium,441.1,490.5,18,6,33.2,26.2,48.4,0,Clear,3,-6.0,1,0,53
PW-1575,Power,Dilip Buildcon Ltd.,711.0,783.6,30,17,53.7,29.0,114.4,1,Disputed,0,8.7,1,1,95
PW-1576,Power,Shivalik Infraprojects Ltd.,908.8,950.2,42,9,24.6,6.8,45.7,0,Disputed,1,5.2,0,1,73
NH-1577,Roads,Ganga Construction Co.,744.0,752.6,42,30,74.0,66.7,20.7,0,Disputed,0,2.6,0,0,44
BR-1578,Bridges,Apex Bullet Infra Ltd.,681.9,697.9,36,29,82.3,81.5,27.9,1,Clear,0,5.3,0,0,32
RW-1579,Railways,Apex Bullet Infra Ltd.,1002.6,1055.7,36,29,78.4,61.1,32.9,1,Disputed,0,3.3,0,1,72
BR-1580,Bridges,Tata Projects Ltd.,494.6,534.1,48,21,43.5,30.2,10.5,1,Pending,0,7.6,1,1,67
NH-1581,Roads,Larsen & Toubro Infra,980.0,1140.8,24,4,13.3,0.0,26.9,2,Pending,4,6.5,1,1,83
NH-1582,Roads,Desert Sun Powergrid JV,418.9,479.8,36,32,82.8,63.8,91.5,0,Pending,3,4.0,1,1,93
BR-1583,Bridges,Tata Projects Ltd.,505.8,536.1,24,5,20.1,0.0,22.1,2,Disputed,1,4.9,0,1,84
PW-1584,Power,Afcons Infrastructure,638.4,718.7,24,4,17.1,7.2,21.8,2,Clear,3,13.9,1,0,71
NH-1585,Roads,Patel Engineering,430.2,459.4,48,19,39.9,29.1,29.1,1,Pending,1,7.5,0,0,65
BR-1586,Bridges,Patel Engineering,284.7,307.1,24,4,15.2,0.0,138.7,1,Pending,0,7.1,0,1,82
NH-1587,Roads,Patel Engineering,629.3,724.3,36,34,92.8,80.3,19.2,0,Pending,3,12.2,1,1,83
NH-1588,Roads,Bharat Rail Consortium,194.6,209.3,42,24,53.8,48.2,24.6,0,Clear,2,-1.8,0,0,41
PW-1589,Power,Ganga Construction Co.,722.8,758.5,18,8,42.2,18.1,105.7,0,Disputed,0,-2.9,0,1,83
NH-1590,Roads,Larsen & Toubro Infra,1324.0,1422.4,42,14,31.5,24.9,31.2,2,Clear,1,5.9,0,0,53
NH-1591,Roads,Dilip Buildcon Ltd.,734.5,764.0,30,17,61.6,55.8,23.9,0,Clear,1,8.5,0,0,43
PW-1592,Power,Desert Sun Powergrid JV,781.6,917.8,24,21,85.2,63.9,96.8,2,Pending,2,8.8,1,1,95
BR-1593,Bridges,Vindhya Powergrid Ltd.,492.2,571.7,24,21,87.2,65.6,32.4,2,Disputed,3,12.2,1,1,95
BR-1594,Bridges,Desert Sun Powergrid JV,176.9,184.7,24,8,39.9,29.9,19.8,2,Clear,1,12.4,0,0,63
NH-1595,Roads,Omkar Roadways Ltd.,210.1,222.0,30,25,89.5,82.4,21.0,1,Clear,1,6.9,0,0,45
NH-1596,Roads,NCC Infrastructure,594.0,653.1,24,4,22.7,2.4,21.5,1,Disputed,2,6.0,1,1,85
PW-1597,Power,Ganga Construction Co.,877.9,1017.2,36,24,66.1,46.9,31.3,1,Disputed,3,12.9,1,1,95
NH-1598,Roads,Ganga Construction Co.,1116.5,1184.9,24,4,21.9,12.2,65.3,0,Pending,0,3.8,0,0,55
RW-1599,Railways,Tata Projects Ltd.,1263.1,1349.7,18,8,44.3,39.0,28.2,1,Clear,2,-3.0,0,0,41
NH-1600,Roads,Patel Engineering,926.0,1020.1,48,10,25.2,4.7,143.9,2,Clear,1,13.2,1,1,91
BR-1601,Bridges,Ganga Construction Co.,475.2,526.9,30,5,16.6,0.0,129.0,1,Disputed,1,5.5,1,1,84
RW-1602,Railways,Himalayan Infra Engineering,777.0,931.1,36,19,52.4,22.0,140.7,2,Clear,5,7.4,1,1,95
PW-1603,Power,Bharat Rail Consortium,814.9,882.8,24,21,86.7,70.2,89.8,1,Clear,2,-0.5,1,1,68
RW-1604,Railways,Desert Sun Powergrid JV,353.5,373.5,30,10,36.9,24.4,105.9,0,Pending,0,1.9,0,1,58
PW-1605,Power,Dilip Buildcon Ltd.,454.9,484.0,60,31,50.4,46.3,22.3,1,Clear,0,7.0,0,0,45
RW-1606,Railways,Vindhya Powergrid Ltd.,361.1,399.2,36,31,88.9,88.0,25.0,1,Clear,4,3.0,1,0,46
NH-1607,Roads,Apex Bullet Infra Ltd.,766.0,783.7,42,8,20.2,5.7,18.7,0,Disputed,0,6.1,0,1,62
RW-1608,Railways,Ganga Construction Co.,338.7,338.7,18,13,81.3,81.3,22.3,0,Clear,0,2.4,0,0,23
NH-1609,Roads,NCC Infrastructure,1307.9,1308.6,60,12,18.0,13.0,19.6,0,Pending,1,-0.8,0,0,28
NH-1610,Roads,Apex Bullet Infra Ltd.,958.2,982.2,42,10,22.5,6.9,26.0,1,Disputed,0,6.1,0,1,62
RW-1611,Railways,Dilip Buildcon Ltd.,553.9,588.9,30,8,24.6,7.3,144.2,0,Clear,1,-1.9,0,1,67
NH-1612,Roads,Dilip Buildcon Ltd.,458.0,495.1,18,10,67.1,47.5,140.7,0,Clear,1,5.0,1,1,88
PW-1613,Power,Vindhya Powergrid Ltd.,1045.8,1090.1,24,12,51.1,43.2,34.0,1,Pending,0,7.8,0,0,50
RW-1614,Railways,Desert Sun Powergrid JV,797.2,817.8,30,10,35.7,35.1,23.2,1,Clear,0,0.5,0,0,24
BR-1615,Bridges,Eastern Rail Infra Pvt. Ltd.,1283.3,1388.7,18,6,33.9,20.1,126.9,0,Clear,1,3.9,1,1,70
PW-1616,Power,Shivalik Infraprojects Ltd.,941.8,1073.9,30,23,74.0,57.1,48.2,1,Pending,4,5.6,1,1,82
NH-1617,Roads,Omkar Roadways Ltd.,504.0,540.1,42,34,77.7,69.3,110.4,1,Clear,0,-0.3,0,1,56
NH-1618,Roads,Eastern Rail Infra Pvt. Ltd.,484.5,529.0,48,19,42.1,30.8,33.2,1,Pending,3,7.1,1,0,69
BR-1619,Bridges,Eastern Rail Infra Pvt. Ltd.,666.9,744.2,18,12,65.5,48.4,15.6,2,Pending,1,7.6,1,1,79
NH-1620,Roads,Patel Engineering,718.9,787.0,18,10,51.2,31.7,140.7,1,Clear,1,2.3,1,1,84
RW-1621,Railways,Himalayan Infra Engineering,1145.0,1209.5,36,28,75.1,58.5,143.0,1,Clear,0,2.9,0,1,69
RW-1622,Railways,Dilip Buildcon Ltd.,491.8,551.2,36,21,56.9,47.9,19.1,2,Clear,2,11.2,1,0,72
BR-1623,Bridges,Bharat Rail Consortium,775.7,877.7,18,16,87.6,61.4,133.7,1,Clear,4,5.8,1,1,95
BR-1624,Bridges,Bharat Rail Consortium,329.6,337.1,36,26,77.5,71.5,11.7,1,Pending,0,0.8,0,0,39
